name,en_name,category,origin,abv,description,image_url
버번카운티 브랜드 스타우트 2019,Bourbon County Brand Stout 2019,Beer,미국,15.2%,"맛을 보는 순간 꼭 소장하고 싶은 2019년 에디션 BCS.
코코아, 퍼지, 바닐라, 카라멜, 아몬드, 레더 그리고 타바코 향이 한 모금 마실 때 마다 더 깊은 향을 선사합니다.

구스아일랜드가 업계 최초로 배럴에이징을 시도하고 센세이션을 일으킨 맥주입니다.
임페리얼 스타우트를 양조한 후, 버번카운티 배럴에서 12개월동안 다시 숙성 시켰습니다.
무더운 여름과 혹독한 겨울로 유명한 시카고의 날씨에서 버번배럴이 수축과 팽창을 거듭하며 임페리얼 스타우트에 버번카운티 위스키와 오크배럴의 풍미를 입혔습니다.
1년에 단 한번, 블랙프라이데이에만 출시되는 한정판 제품으로 병입 발효가 진행되어 출시 연도에 따라 각기 다른 풍미를 즐길 수 있는 희소한 맥주입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/bourbon-county-2019.png
버번카운티 브랜드 스타우트 2018,Bourbon County Brand Stout 2018,Beer,미국,15.2%,"20년 전 처음으로 만든 BCS에 견줄만큼 맛과 향의 완성도가 높은 2018년 에디션 코코아, 바닐라, 캐러멜, 아몬드, 체리의 복합적인 향이 스며든 맛.
묵직한 레더와 시가향까지 맥주에 스며들어 한 모금, 한 모금이 다른 여운을 남깁니다.

구스아일랜드가 업계 최초로 배럴에이징을 시도하고 센세이션을 일으킨 맥주입니다.
임페리얼 스타우트를 양조한 후, 버번카운티 배럴에서 12개월동안 다시 숙성 시켰습니다.
무더운 여름과 혹독한 겨울로 유명한 시카고의 날씨에서 버번배럴이 수축과 팽창을 거듭하며 임페리얼 스타우트에 버번카운티 위스키와 오크배럴의 풍미를 입혔습니다.
1년에 단 한번, 블랙프라이데이에만 출시되는 한정판 제품으로 병입 발효가 진행되어 출시 연도에 따라 각기 다른 풍미를 즐길 수 있는 희소한 맥주입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/bourbon-county-2018.png
펑크 아이피에이,PUNK IPA,Beer,영국,5.6%,"브루독의 가장 대표적인 품목으로 미국계 홉에 풍부한 자몽, 파인애플, 리치 등의 열대 과일 향과 쌉싸름하고 강렬한 피니쉬가 특징",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/brewdong-punk-ipa.png
구스아일랜드 아이피에이,Goose IPA,Beer,미국,5.9%,"Great American Beer Festival에서 6차례 수상한 맥주.
영국식 IPA로 적당한 홉 향과 함께 오렌지 향 또한 느낄 수 있습니다.
단 맛이 부드럽고 은은하게 느껴지며, 어떠한 음식과도 조화를 잘 이루는 균형 잡힌 IPA 맥주입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/goose-ipa.png
구스아일랜드 312 얼반위트,Goose 312 Urban Wheat Ale,Beer,미국,4.2%,"312라는 이 맥주의 이름은 구스 아일랜드 양조장이 위치한 시카고의 지역 번호에서 유래되었고, 현재 시카고를 대표하는 맥주가 되었습니다.
케스케이드 홉의 스파이시한 향과 함께 상쾌한 과일 향을 느낄 수 있는 부드러운 밀맥주 입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/goose-312.png
어반래빗 바이젠,Urban Rabbit Weizen,Beer,한국,5%,효모가 만들어낸 달콤한 바나나 향과 은은한 클로브 향이 인상적인 밀맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/urban-rabbit-weizen.png
어반래빗 라거,Urban Rabbit Larger,Beer,한국,5%,"꿀과 같은 풍미, 은은한 과일향 깔끔한 피니시의 라거",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/urban-rabbit-lager.png
구미호 피치에일,Kumiho Peach Ale,Beer,한국,4.5%,부드러운 밀맥주 베이스에 천연 복숭아 원액을 더해 언제든 마시기 편한 에일 맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/gumiho-peach-ale.png
핸드앤몰트 상상 페일 에일,Hand and Malt Sangsang Pale Ale,Beer,한국,5.1%,"달콤한 페일에일, 상상해 봤어? 네 가지 홉과 국내산 꿀, 허니몰트로 페일에일은 쓰다는 편견을 바꿀 핸드앤몰트의 달콤한 상상!",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/hand-and-malt-pale-ale.png
강서 마일드 에일,GANGSEO MILD ALE,Beer,한국,4.6%,아메리칸 페일에일을 한국식으로 재해석하여 많은 양의 홉을 사용해 열대과일과 꽃향기가 특징인 맥주입니다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/gangseo.png
세븐브로이 곰표 밀맥주,GOMPYO WHEAT BEER,Beer,한국,4.5%,달콤하고 향긋한 열대과일향을 풍부하게 느낄 수 있으며 부드러운 거품과 개운한 끝 맛이 특징인 밀맥주입니다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
한강 에일,HANGANG ALE,Beer,한국,5.2%,밀맥아를 베이스로 하여 부드럽고 조밀한 거품이 특징으로 맥아의 단맛과 오렌지 껍질의 상큼함이 청량감을 높여 편하게 마실 수 있는 맥주입니다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/hangang.png
서울 에일,SEOUL SOUL ALE,Beer,한국,5%,"홉의 깔끔한 쓴맛과 프리미엄 맥아의 은은한 단맛이 조화를 이루며, 입안과 코 끝에 남는 홉 향기가 특징인 맥주입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
양평 에일,YANGPYEONG ALE,Beer,한국,4.5%,"청량감이 높고, 마신 후 은은하게 퍼지는 상쾌한 과일 향과 알싸한 후추 향이 조화를 이루는 에일 맥주입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
독립 에일,INDEPENDENCE 1909,Beer,한국,6%,"풍부한 탄산감과 깔끔한 뒷맛으로 가볍고 산뜻하게 마실 수 있으며, 상쾌한 과일향과 스파이시함이 조화를 이뤄 기분 좋게 마실 수 있는 맥주",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
코리아 페일 에일,KPA,Beer,한국,4.6%,"아메리칸 스타일인 페일 에일을 재해석한 맥주로 맥아 특유의 달콤함이 느껴지며, 마신 후 강렬한 과일향과 은은한 버터감이 여운을 남기는 맥주입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
서초,SEOCHO WHEAT,Beer,한국,4.2%,가장 편하게 마실 수 있는 밀맥주로 밀맥주 특유의 바나나의 풍미를 느낄 수 있는 맥주이다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
맥아더,"MAC A, THE",Beer,한국,4.7%,캐러멜 몰트 맥아의 단맛과 꽃향기를 가지고 있으며 비스킷과 같은 단맛과 고소한 맛이 나는 맥주입니다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/mac-a-the.png
흥청망청,HEUNG-CHUNG MANG-CHUNG,Beer,한국,5%,깔끔한 맛으로 자몽 향과 시트러스 향이 나며 맥아에서 오는 캐러멜 맛이 나는 진한 호박색의 라거 맥주입니다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/heung-chung-mang-chung.png
레오,LEO,Beer,태국,5%,"태국 3대 맥주. 더운 태국의 기후에 알맞는 페일 라거

Crafted with barley and a taste-enhancing blend of special Thai ingredients, LEO is smooth and easy to drink, with a flavor all its own. Today, it is the best-selling beer in Thailand.

LEO reflects the contemporary Thai character – cool, creative and playful. Everywhere it goes, the brand’s easygoing personality helps it open doors and join the conversation.

Now people in international markets are starting to discover LEO. It’s the perfect product to develop new channels from Asian fusion bars to concerts and sporting events.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/leo.png
